iter	Passed	Remaining
0	16	23265
1	32	23472
2	51	24742
3	69	24992
4	87	25046
5	102	24578
6	118	24325
7	133	23845
8	150	23929
9	166	23814
10	181	23516
11	195	23298
12	211	23192
13	227	23199
14	249	23723
15	265	23670
16	284	23784
17	296	23453
18	311	23329
19	325	23124
20	343	23210
21	357	23063
22	374	23048
23	388	22938
24	410	23231
25	429	23372
26	448	23446
27	463	23378
28	486	23660
29	501	23564
30	515	23432
31	535	23577
32	552	23538
33	568	23529
34	584	23449
35	598	23357
36	615	23341
37	632	23347
38	647	23274
39	662	23171
40	676	23083
41	691	23008
42	706	22950
43	720	22843
44	737	22850
45	751	22781
46	766	22721
47	782	22680
48	798	22671
49	813	22611
50	836	22778
51	851	22722
52	867	22704
53	883	22683
54	899	22662
